page,filename,section,asset_type,tier,selected,learning_focus,notes
173,0173.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
174,0174.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
175,0175.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
176,0176.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
177,0177.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
178,0178.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
179,0179.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
180,0180.webp,field_exploration,environment_concept_or_breakdown,S,yes,crystalline lighting and elemental environment,environment exploration / biome / map / habitat study
181,0181.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
182,0182.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
183,0183.webp,field_exploration,environment_concept_or_breakdown,S,yes,city/environment integration concept page,environment exploration / biome / map / habitat study
184,0184.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
185,0185.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
186,0186.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
187,0187.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
188,0188.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
189,0189.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
190,0190.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
191,0191.webp,field_exploration,environment_concept_or_breakdown,S,yes,golden cavern material and glow logic,environment exploration / biome / map / habitat study
192,0192.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
193,0193.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
194,0194.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
195,0195.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
196,0196.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
197,0197.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
198,0198.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
199,0199.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
200,0200.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
201,0201.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
202,0202.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Great Jagras core monster design sheet,large monsters and endemic life core section
203,0203.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
204,0204.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
205,0205.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,S,yes,field behavior + anatomy pairing,large monsters and endemic life core section
206,0206.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
207,0207.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
208,0208.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
209,0209.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
210,0210.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
211,0211.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
212,0212.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Pukei-Pukei color and organ-based attack design,large monsters and endemic life core section
213,0213.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
214,0214.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
215,0215.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
216,0216.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
217,0217.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
218,0218.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
219,0219.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
220,0220.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Barroth armor-plating anatomy and habitat logic,large monsters and endemic life core section
221,0221.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
222,0222.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
223,0223.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
224,0224.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
225,0225.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
226,0226.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
227,0227.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
228,0228.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Tobi-Kadachi gliding silhouette and ecology,large monsters and endemic life core section
229,0229.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
230,0230.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
231,0231.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
232,0232.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
233,0233.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
234,0234.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
235,0235.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Anjanath predator mass and locomotion logic,large monsters and endemic life core section
236,0236.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
237,0237.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
238,0238.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
239,0239.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
240,0240.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Rathian iconic wyvern silhouette,large monsters and endemic life core section
241,0241.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
242,0242.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
243,0243.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
244,0244.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
245,0245.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Tzitzi-Ya-Ku flash organ and display behavior,large monsters and endemic life core section
246,0246.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
247,0247.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
248,0248.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
249,0249.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
250,0250.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Paolumu balloon body concept and behavioral adaptation,large monsters and endemic life core section
251,0251.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
252,0252.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
253,0253.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
254,0254.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
255,0255.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
256,0256.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
257,0257.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
258,0258.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
259,0259.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
260,0260.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Radobaan bone-armor material translation,large monsters and endemic life core section
261,0261.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
262,0262.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
263,0263.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
264,0264.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
265,0265.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
266,0266.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Legiana flight form elegance and wing study,large monsters and endemic life core section
267,0267.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
268,0268.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
269,0269.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
270,0270.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
271,0271.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
272,0272.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
273,0273.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
274,0274.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
275,0275.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Odogaron speed predator anatomy,large monsters and endemic life core section
276,0276.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
277,0277.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
278,0278.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
279,0279.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
280,0280.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Bazelgeuse explosive body language,large monsters and endemic life core section
281,0281.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
282,0282.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
283,0283.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
284,0284.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
285,0285.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
286,0286.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
287,0287.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
288,0288.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
289,0289.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
290,0290.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Kirin mythical lightning-beast minimal silhouette,large monsters and endemic life core section
291,0291.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
292,0292.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
293,0293.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
294,0294.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
295,0295.webp,monsters_and_endemic_life_I,monster_hero_or_design_sheet,S,yes,Zorah Magdaros colossal scale and surface ecology,large monsters and endemic life core section
296,0296.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
297,0297.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
298,0298.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
299,0299.webp,monsters_and_endemic_life_I,monster_design_or_ecology_page,A,no,"High value for believable creature anatomy, habitat logic, attack organs, locomotion, and predator-prey identity.",large monsters and endemic life core section
300,0300.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
301,0301.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
302,0302.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
303,0303.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
304,0304.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
305,0305.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
306,0306.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
307,0307.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
308,0308.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
309,0309.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
310,0310.webp,monsters_and_endemic_life_II,monster_hero_or_design_sheet,S,yes,Pink Rathian variant differentiation,advanced monsters / elder dragons / late-game creatures
311,0311.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
312,0312.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
313,0313.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
314,0314.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
315,0315.webp,monsters_and_endemic_life_II,monster_hero_or_design_sheet,S,yes,Bazelgeuse variant / wing graphic detail,advanced monsters / elder dragons / late-game creatures
316,0316.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
317,0317.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
318,0318.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
319,0319.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
320,0320.webp,monsters_and_endemic_life_II,monster_hero_or_design_sheet,S,yes,lavasioth heat and magma texture logic,advanced monsters / elder dragons / late-game creatures
321,0321.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
322,0322.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
323,0323.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
324,0324.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
325,0325.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
326,0326.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
327,0327.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
328,0328.webp,monsters_and_endemic_life_II,monster_hero_or_design_sheet,S,yes,Azure Rathalos aerial predator variant,advanced monsters / elder dragons / late-game creatures
329,0329.webp,monsters_and_endemic_life_II,monster_design_or_ecology_page,A,no,"High value for advanced monster variants, elder-dragon grandeur, material-specific anatomy, and boss spectacle logic.",advanced monsters / elder dragons / late-game creatures
